,start_value,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,std_p1,std_p2,std_p3,std_p4,std_p5,std_p6,std_p7,std_p8,std_p9,std_p10,rss
1,1,0.482413355,0.271800144,1,0.199021506,0,0,0.189869027,0.219728893,0,0,0.073567888,0.095500486,0.0413868,0.054902175,0.112473626,0.040854644,0.023741781,0.095567094,0.10544464,0.100015682,9.737400703
2,2,0.481865731,0.271888027,1,0.1983251,0,0,0.189329065,0.221080982,0,0,0.07356861,0.095501424,0.041387207,0.054902714,0.112474729,0.040855045,0.023742014,0.095568031,0.105445675,0.100016663,9.737591756
3,3,0.480115156,0.274120907,1,0.19549389,0,0,0.188684566,0.221071375,0,0,0.073568215,0.09550091,0.041386984,0.054902419,0.112474126,0.040854826,0.023741886,0.09556752,0.105445109,0.100016127,9.737487279
4,4,0.481565433,0.273418194,1,0.197101893,0,0,0.188904626,0.221562083,0,0,0.073569869,0.095503058,0.041387915,0.054903654,0.112476655,0.040855744,0.02374242,0.095569668,0.10544748,0.100018376,9.737925206
5,5,0.483525735,0.280391005,1,0.199984309,0,0,0.192533259,0.200865739,0,0,0.073544539,0.095470177,0.041373665,0.05488475,0.112437929,0.040841678,0.023734246,0.095536762,0.105411174,0.099983939,9.731220809
6,6,0.479171566,0.302109151,1,0.194804578,0,0,0.192816568,0.174904507,0,0,0.07352316,0.095442424,0.041361638,0.054868795,0.112405244,0.040829805,0.023727346,0.095508993,0.105380532,0.099954874,9.725563957
7,7,0.48343143,0.277180831,1,0.200801887,0,0,0.192243443,0.203093508,0,0,0.073544977,0.095470745,0.041373912,0.054885078,0.112438599,0.040841921,0.023734387,0.095537331,0.105411802,0.099984534,9.731336676
8,8,0.484589223,0.291536966,1,0.196378917,0,0,0.192757476,0.197502068,0,0,0.073565288,0.095497112,0.041385337,0.054900235,0.11246965,0.0408532,0.023740941,0.095563715,0.105440913,0.100012147,9.736712291
9,9,0.480282149,0.280551955,1,0.194618348,0,0,0.189914891,0.21903203,0,0,0.073586949,0.09552523,0.041397524,0.0549164,0.112502768,0.040865229,0.023747932,0.095591854,0.105471961,0.100041596,9.742447219
10,10,0.48194762,0.290039277,1,0.192693887,0,0,0.189406492,0.211380092,0,0,0.07359141,0.09553102,0.041400033,0.054919729,0.112509587,0.040867707,0.023749372,0.09559765,0.105478354,0.10004766,9.743628437
