
Similarity
Label,n,Wynyard Formation,Devonian-Carboniferous Granitoids,Mount Read Volcanics,Oonah Formation,Luina Group,Crimson Creek Formation,Arthur Lineament,Success Creek Group,Wings Sandstone,Rocky Cape Group,Tyennan Element,Forest Conglomerant (Togari Group),Stitt Quartzite
Wynyard Formation,583,0.9994423907638487,0.3110798011131429,0.6225526906011354,0.7687995672329712,0.7818718739555267,0.3814078482979673,0.6304764990409251,0.5760160698713674,0.5719810620004213,0.5827743037223245,0.49267655569544955,0.6273510085822721,0.4103001206649694
Devonian-Carboniferous Granitoids,77,0.3110798011131429,0.9994423907638488,0.12439087208330778,0.12984718271218437,0.07383105083478365,0.00796603642126916,0.10108172149885485,0.07364524024451906,0.11109852514881319,0.07744025867091352,0.05424033128302159,0.07107359705733905,0.10161502977127641
Mount Read Volcanics,272,0.6225526906011354,0.12439087208330778,0.9994423907638487,0.5925190855726264,0.3955471466905647,0.12641025957376587,0.5860270375754143,0.5505875945274525,0.43992087197741003,0.5678708328409147,0.48366571511896,0.5376279046509712,0.47533795514148963
Oonah Formation,285,0.7687995672329712,0.12984718271218437,0.5925190855726264,0.9994423907638488,0.6134300536411582,0.25030422840594707,0.7184801267674152,0.8023637814276098,0.4517076623542561,0.837052079855404,0.8327042266415295,0.8761011513465227,0.5278410873175183
Luina Group,121,0.7818718739555267,0.07383105083478365,0.3955471466905647,0.6134300536411582,0.9994423907638488,0.4566513527760271,0.5553973246913281,0.484920584838087,0.5084225924035284,0.4698627010490554,0.4118081320736603,0.5160384269704318,0.35681642576725353
Crimson Creek Formation,304,0.3814078482979673,0.00796603642126916,0.12641025957376587,0.25030422840594707,0.4566513527760271,0.9994423907638487,0.12147304085031149,0.15353647668231848,0.05971502740486797,0.15234063842234147,0.12696592135072793,0.16804781366981786,0.08161345405287518
Arthur Lineament,356,0.6304764990409251,0.10108172149885485,0.5860270375754143,0.7184801267674152,0.5553973246913281,0.12147304085031149,0.9994423907638489,0.8596446128446041,0.7498148670120391,0.8496824028881945,0.7086833142182561,0.7844137202752146,0.7076928511777428
Success Creek Group,132,0.5760160698713674,0.07364524024451906,0.5505875945274525,0.8023637814276098,0.484920584838087,0.15353647668231848,0.8596446128446041,0.9994423907638488,0.48466731808014163,0.9255219673283523,0.8105720638918057,0.8644325620997821,0.6742359489162297
Wings Sandstone,123,0.5719810620004213,0.11109852514881319,0.43992087197741003,0.4517076623542561,0.5084225924035284,0.05971502740486797,0.7498148670120391,0.48466731808014163,0.9994423907638489,0.47026078251643005,0.36354385963646657,0.46824028290159625,0.5340598007538772
Rocky Cape Group,805,0.5827743037223245,0.07744025867091352,0.5678708328409147,0.837052079855404,0.4698627010490554,0.15234063842234147,0.8496824028881945,0.9255219673283523,0.47026078251643005,0.9994423907638488,0.8598956678023684,0.8893086252417796,0.7212193454650051
