count,sample_name,kuiper_norm,kuiper_std,ks_norm,ks-std,xcorr_norm,xcorr_std
1,Devonian Granitoids,0.04974271,0,0.04974271,0,0.04974271,0
2,Mount Read Volcanics,0.059904541,0.014326696,0.02909539,0.019175423,0.026560511,0.019297408
3,Oonah Formation,0.239638223,0.041495451,0.274381948,0.038611679,0.298251729,0.042920131
4,Luina Group,0.206497285,0.038207881,0.255724504,0.035365024,0.15660112,0.031473637
5,Crimson Creek Formation,0.046653246,0.014225235,0.026277111,0.020796677,0.032395565,0.015015695
6,Success Creek Group,0.033331936,0.017361926,0.032457158,0.01885003,0.062201946,0.025520035
7,Arthur Lineament,0.01962234,0.015900886,0.025568867,0.021547656,0.039260292,0.026843071
8,Wings Sandstone,0.074196851,0.060178894,0.048553254,0.049514722,0.111655844,0.070795257
9,Forest Conglomerate,0.125757004,0.05106738,0.109781543,0.062763626,0.023416606,0.014558469
10,Rock Cape Group,0.031222092,0.031381879,0.021214514,0.021129908,0.025891119,0.023215201
11,Tyennan Element,0.044823136,0.043338738,0.058592366,0.053444127,0.105411925,0.032313777
12,> 1900 Ma,0.101200686,0,0.101200686,0,0.101200686,0
