count,sample_name,kuiper_norm,kuiper_std,ks_norm,ks-std,xcorr_norm,xcorr_std
1,Devonian Granitoids,0.04974271,0,0.04974271,0,0.04974271,0
2,Mount Read Volcanics,0.045187033,0.042784539,0.065179636,0.065379598,0.024855267,0.025020202
3,Oonah Formation,0.049815262,0.050142739,0.036711647,0.044665688,0.050975057,0.057457235
4,Luina Group,0.475043359,0.131173043,0.48193075,0.18992188,0.575539154,0.102638774
5,Crimson Creek Formation,0.069413758,0.055798974,0.080767388,0.068656593,0.010896036,0.011792172
6,Success Creek Group,0.028705626,0.035803699,0.021923782,0.025166079,0.024060973,0.029942872
7,Arthur Lineament,0.027483332,0.032677548,0.028574517,0.038713535,0.016588721,0.019648198
8,Wings Sandstone,0.069883988,0.051392156,0.065514655,0.075486094,0.051966799,0.055402502
9,Forest Conglomerate,0.034707075,0.040867136,0.025052123,0.032559031,0.039405912,0.05300213
10,Rock Cape Group,0.02485061,0.029997244,0.021998517,0.029342844,0.026264203,0.03291221
11,Tyennan Element,0.023966559,0.026327342,0.02140359,0.025892779,0.028504482,0.03995827
12,> 1900 Ma,0.101200686,0,0.101200686,0,0.101200686,0
