count,sample_name,model_values,model_std_err,self_norm_values,model_std_err,sample_norm_value,norm_std_err,n_source,n_round,%Error,model_error
1,Devonian Granitoids,,,,,0.04974271,0,,,,
2,Mount Read Volcanics,0.466660981,0.007447659,0.202319535,0.003228911,0.171780737,0.002741528,238,200,0.592043954,0.101701747
3,Oonah Formation,0.431197803,0.009668009,0.186944575,0.004191538,0.158726526,0.003558853,285,300,0.641800017,0.101870687
4,Luina Group,1,0.0041898,0.433547142,0.001816476,0.368106064,0.001542291,121,100,0.271897035,0.100086947
5,Crimson Creek Formation,0.180715856,0.005558032,0.078348843,0.002409669,0.066522602,0.002045945,304,300,1.559593052,0.103748188
6,Success Creek Group,0,0.011386288,0,0.004936493,0,0.004191362,132,100,1,0
7,Arthur Lineament,0,0.004135927,0,0.00179312,0,0.00152246,356,350,1,0
8,Wings Sandstone,0.186314254,0.002403504,0.080776012,0.001042032,0.068583407,0.000884744,123,100,1.511761294,0.10368174
9,Forest Conglomerate,0.041665348,0.009674752,0.018063892,0.004194461,0.015337267,0.003561335,226,250,6.976123922,0.106994676
10,Rock Cape Group,0,0.010674708,0,0.004627989,0,0.003929425,424,400,1,0
11,Tyennan Element,0,0.010125106,0,0.004389711,0,0.003727113,144,100,1,0
12,> 1900 Ma,,,,,0.101200686,0,,,,
